session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k2241a3,k228334,k22242c,k2241b6,k2241b4,k222414,ke16f08,ke3f60e,k222885,k15b,k221942,k22c218,kea5b10,k22000d
1524876248474,1524876331559,-121.95650975,38.36137678,19.44,307.9,60.566666,31.37255,0.0,0.0,0.0,10.2,3.5208359,283.42728,345.18,34.901962,1209.875,3.594284,1.56,12.42236
1524876248474,1524876332559,-121.95655078,38.36140712,20.484,308.5,60.566666,31.37255,0.0,0.0,0.0,-0.25,-0.08649,-7.3288894,345.96,34.901962,1167.125,3.5993195,1.56,11.801242
1524876248474,1524876333559,-121.95660164,38.36144276,17.82,310.7,60.566666,31.37255,0.0,0.0,0.0,-8.35,-2.8885992,-290.66528,345.94,34.901962,1026.125,3.604889,1.56,9.937888
1524876248474,1524876334559,-121.95663757,38.36146591,16.956,309.0,60.566666,31.37255,0.0,0.0,0.0,-5.05,-1.747098,-175.80174,345.96,34.901962,904.25,3.604889,1.56,9.937888
1524876248474,1524876335559,-121.9566686,38.36148902,15.047999,309.7,60.566666,31.37255,0.0,0.0,0.0,0.9,0.31077898,35.739582,345.31,34.901962,851.125,3.6023712,1.56,8.695652
1524876248474,1524876336559,-121.95670687,38.36150946,13.895999,308.8,60.566666,31.37255,0.0,0.0,0.0,13.5,4.64238,533.8737,343.88,34.901962,851.125,3.5999298,1.56,8.695652
1524876248474,1524876337559,-121.95674371,38.36153585,14.4,307.1,60.566666,31.37255,0.0,0.0,0.0,35.4,12.159193,1305.0867,343.48,34.901962,925.125,3.5923767,1.56,9.316771
1524876248474,1524876338559,-121.95678456,38.3615672,17.136,309.0,60.566666,31.37255,0.0,0.0,0.0,35.4,12.159193,1030.3317,343.48,34.901962,1105.875,3.5836792,1.56,11.801242
1524876248474,1524876339560,-121.95684164,38.36159587,19.872,307.1,60.566666,31.37255,0.0,0.0,0.0,33.9,11.626683,850.8618,342.97,34.901962,1322.5,3.5811615,1.56,13.664597
1524876248474,1524876340559,-121.95690724,38.36163381,21.744,304.3,60.566666,31.37255,0.0,0.0,0.0,9.6,3.309216,231.64513,344.71,34.901962,1397.375,3.5930634,1.56,14.285714
1524876248474,1524876341559,-121.95696964,38.36166436,22.391998,302.5,60.566666,31.37255,0.0,0.0,0.0,-9.25,-3.196985,-223.78894,345.62,34.901962,1321.5,3.6030579,1.56,13.664597
1524876248474,1524876342559,-121.9570262,38.36169754,21.564,303.5,60.566666,31.37255,0.0,0.0,0.0,-20.35,-7.0555487,-516.3379,346.71,34.901962,1127.0,3.6105347,1.56,13.664597
1524876248474,1524876343559,-121.95708151,38.36170979,18.575998,301.4,60.566666,31.37255,0.0,0.0,0.0,0.0,0.0,0.0,345.18,34.901962,1068.75,3.6005402,1.56,11.180124
1524876248474,1524876344560,-121.95712674,38.36174887,16.596,312.7,60.566666,31.37255,0.0,0.0,0.0,9.6,3.3075843,295.84503,344.54,34.901962,1109.125,3.6005402,1.56,11.180124
1524876248474,1524876345559,-121.95715823,38.36179286,18.071999,324.2,60.566666,31.37255,0.0,0.0,0.0,9.6,3.3075843,280.27423,344.54,34.901962,1109.125,3.5936737,1.56,11.801242
1524876248474,1524876346560,-121.95717413,38.36183023,14.292,340.0,60.566666,31.37255,0.0,0.0,0.0,10.2,3.513696,282.85254,344.48,34.901962,1196.75,3.5936737,1.56,12.42236
1524876248474,1524876347559,-121.95715514,38.36188135,17.1,8.7,60.566666,31.37255,0.0,0.0,0.0,12.0,4.13652,317.13318,344.71,34.901962,1254.5,3.594284,1.56,13.043478
1524876248474,1524876348559,-121.95713276,38.36191843,18.468,18.1,60.566666,31.37255,0.0,0.0,0.0,19.2,6.6061444,483.44965,344.07,34.901962,1321.0,3.5899353,1.56,13.664597
1524876248474,1524876349559,-121.95710909,38.36196774,19.692,27.6,60.566666,31.37255,0.0,0.0,0.0,9.6,3.3073921,242.04095,344.52,34.901962,1364.875,3.5930634,1.56,13.664597
1524876248474,1524876350559,-121.95705893,38.36200697,20.844,15.9,60.566666,31.37255,0.0,0.0,0.0,6.9,2.380431,166.63017,344.99,34.901962,1363.625,3.5930634,1.56,14.285714
1524876248474,1524876351559,-121.95703593,38.36206154,21.096,0.7,60.566666,31.37255,0.0,0.0,0.0,6.9,2.380431,166.63017,344.99,34.901962,1363.625,3.5948944,1.56,14.285714
1524876248474,1524876352559,-121.95703618,38.36211348,20.196,11.5,60.566666,31.37255,0.0,0.0,0.0,6.6,2.274822,166.47562,344.67,34.901962,1351.0,3.5948944,1.56,13.664597
1524876248474,1524876353559,-121.95705819,38.36216516,19.8,4.5,60.566666,31.37255,0.0,0.0,0.0,6.9,2.381604,166.71228,345.16,34.901962,1348.25,3.5948944,1.56,14.285714
1524876248474,1524876354559,-121.95711648,38.3622189,22.319998,317.1,60.566666,31.37255,0.0,0.0,0.0,6.9,2.3782232,166.47562,344.67,34.901962,1354.125,3.5955048,1.56,14.285714
1524876248474,1524876355559,-121.95715689,38.36226244,22.067999,336.3,60.566666,31.37255,0.0,0.0,0.0,0.3,0.103590004,7.9419003,345.3,34.901962,1314.25,3.5955048,1.56,13.043478
1524876248474,1524876356559,-121.95721972,38.36230116,23.688,327.7,60.566666,31.37255,0.0,0.0,0.0,-24.85,-8.6197195,-816.33813,346.87,34.901962,1081.125,3.609314,1.56,10.559006
1524876248474,1524876357560,-121.9572579,38.36231391,17.568,302.3,60.566666,31.37255,0.0,0.0,0.0,-15.85,-5.490282,-736.6128,346.39,34.901962,777.75,3.6154938,1.56,7.4534163
1524876248474,1524876358559,-121.95728667,38.36232261,12.023999,302.1,60.566666,31.37255,0.0,0.0,0.0,-17.65,-6.1134305,-1640.4371,346.37,34.901962,457.0,3.609314,1.56,3.7267082
1524876248474,1524876359559,-121.95731784,38.36234414,10.259999,306.6,60.566666,31.37255,0.0,0.0,0.0,-2.35,-0.8126535,-218.06201,345.81,34.901962,164.875,3.6030579,1.56,3.7267082
1524876248474,1524876360559,-121.95731442,38.36233936,2.412,301.8,60.566666,31.37255,0.0,0.0,0.0,-0.25,-0.086370006,-69.527855,345.48,34.901962,96.0,3.5999298,1.56,1.242236
1524876248474,1524876361559,-121.95732553,38.36234586,2.664,301.8,60.566666,31.37255,0.0,0.0,0.0,20.1,6.9164104,Infinity,344.1,34.901962,365.5,3.5999298,1.56,0.0
1524876248474,1524876362560,-121.95733317,38.36234967,3.348,301.8,60.566666,31.37255,0.0,0.0,0.0,45.3,15.509814,3121.35,342.38,34.901962,861.625,3.577423,1.56,4.968944
1524876248474,1524876363559,-121.95734839,38.36234488,4.5,296.9,60.566666,31.37255,0.0,0.0,0.0,57.6,19.704384,1982.7535,342.09,34.901962,861.625,3.577423,1.56,9.937888
1524876248474,1524876364560,-121.95738275,38.36235327,9.756,283.5,60.566666,31.37255,0.0,0.0,0.0,63.9,21.787344,1594.4375,340.96,34.901962,1530.5,3.5668182,1.56,13.664597
